Unnamed: 0,uid,speakerid,replyid,utterance,offensive,target
304,1.0,3567791464,0,你这智商别玩贴吧了,1.0,1.0
321,5.0,889986903,705421211,一直逆行？你在想屁吃，逆行一点就行了还一直逆行交警不逮你啊,0.0,0.0
368,3.0,17596404017710,0,高中有名分的女朋友谈了7个,0.0,0.0
373,4.0,4149116484,1588810602,我是说致臭的物质一样，谁说真放了，你别的东西不能产生粪臭素，只有你能？,0.0,0.0
312,9.0,4169530874,0,东北人是这样,1.0,2.0
326,1.0,3080567564,0,我靠！！！！真不错,0.0,0.0
397,0.0,1092777921,-1,我跟你做了情侣做的事情不等于我和你是情侣,0.0,0.0
416,0.0,1444163695,-1,他是南工的，南工的同学有福了,0.0,0.0
495,7.0,4863681601,0,你喝多了？脑子不太好使,1.0,1.0
355,4.0,1596881181,0,送你个 der 若只，这是前天的事，还在送路上，送了三天吗？,1.0,1.0
254,0.0,457739587,-1,别扯什么这个之行那个之行了，我们更想了解一下，情伤,0.0,0.0
469,0.0,1236382911,-1,支持水鬼找室内抽烟和外放抖音的同归于尽，早该414了,1.0,2.0
459,3.0,3503628279,0,好骂,1.0,2.0
308,2.0,185951135,0,这女的袭警不判个几年,0.0,0.0
291,2.0,2068668977,2092639174,攻击性有待提高,1.0,1.0
255,0.0,1585629685,-1,这是南山后海CBD实拍。深圳不像广州，集全市之力打造最大的珠江新城CBD，确实很漂亮。但深圳的高楼分散在各个区域，很多区域都不比福田差，福田的存在只是为了一个市中心名义而已,0.0,0.0
279,1.0,5819364988,0,太直接，不如楼上攻击性强,1.0,2.0
423,7.0,2056559809,3498011556,首先，你觉得国产手机的零部件国产化比苹果多很多？就算多很多，增值税下降他们不是受利最大的？不应该更降价？你是不是孬子不好。,0.0,0.0
318,4.0,1412389506,1349260505,有没有种可能，人家根本不在意到底谁多谁错，这两人都堵着道了。你要是跟在后面我看你会不会急着让他俩别闹事赶紧走人。,0.0,0.0
279,7.0,2388754604,1137339124,只准男的厕所**，不准女的厕所抠豆,1.0,2.0
317,3.0,391297784,0,这么会,0.0,0.0
281,6.0,5621286249,6522846680,哈哈哈哈哈人才,1.0,2.0
362,0.0,807961790,-1,小学老师？这打扮？这车？这年龄？,0.0,0.0
391,4.0,6077633248,2977834410,呵呵，我在航吧被骂口，在口吧被骂航，两边一样扣帽子，那边说两句，就说我是1450，这边说两句，我就成了没出社会的学生,1.0,2.0
399,1.0,2728225813,0,可问题是没证据证明法官拉偏架，微博上说房子判给女方，我发的东西里是说法官在确认男方所有权的情况下驳回男方诉求。,0.0,0.0
385,6.0,3235397343,6546573012,目田神神是什么啊，老哥,0.0,0.0
355,0.0,834818038,-1,不信谣，不传谣，伤者情绪很稳定正在送往医院的路上,0.0,0.0
428,2.0,2388113873,0,牛顿：刚刚谁跳远的时候踩了下我棺材板？,0.0,0.0
394,3.0,6520367320,0,对的真好，甚至上下联有联系,1.0,1.0
502,5.0,4994112645,0,一方面享受着骂人的快感，又不许别人骂人，这就是你！,0.0,0.0
333,5.0,3588290809,0,怎么哪里都有这b洞洗,1.0,1.0
478,2.0,301278486,320693878,那是人打完了打扫战场的视频,0.0,0.0
290,3.0,816759585,3546082049,赞美苦难，赞美无私奉献，是这个星球上最大的谎言,0.0,0.0
338,7.0,796870073,0,店主是你叠,1.0,1.0
440,7.0,877960944,1221252616,考450我早踏马家里蹲了就楼主这dinner还敢出来吹,1.0,1.0
303,6.0,1835057847,0,敌人越是指责我，说明我做对了； 敌人都赞扬我，说明我确实做对了； 敌人都不说我，说明我做对得让敌人都无话可说。,0.0,0.0
324,2.0,164133206,0,什么开团？,0.0,0.0
501,0.0,6345331943,-1,绿牌dinner别急，某些新闻学蛀虫看到舔字又急了,1.0,2.0
328,1.0,2673529179,1427628639,你自己试试油和水倒出来的区别,0.0,0.0
397,7.0,2269708199,1843320416,什么小仙男,1.0,1.0
379,10.0,2692686153,0,不值得，没必要,0.0,0.0
279,6.0,2476276873,3912739870,什么机械制品,0.0,0.0
400,1.0,2829058696,0,热知识，杜甫晚唐,0.0,0.0
502,8.0,1670167156,4994112645,？发你大坝,1.0,1.0
386,5.0,933259511,0,就这聊天，一眼大小号,0.0,0.0
261,3.0,2845626449,5157373730,你叫不醒一个人。,0.0,0.0
257,10.0,6368205124,2092152596,勾东溪和本贴痛批瑙坛钕一个类型的捏,1.0,1.0
269,10.0,1311960198,547257474,有点狠了兄弟,0.0,0.0
316,1.0,5805185995,0,我支持，但是我也想躺着赚钱,1.0,2.0
352,10.0,1094095548,2570140821,知道现在的三防工程什么标准吗？做个头盔别说吊车百吨压顶不带砸个坑的,0.0,0.0
389,1.0,1966393429,5669852761,农都碰瓷重庆不是更逗,0.0,0.0
263,8.0,2812995242,1502385639,所以你会给自己开药？,0.0,0.0
413,7.0,85964545,3071345401,看你这理解力我也能理解为啥国家不宣传游戏了，都成你这样魔怔人那国家算是完了,1.0,1.0
432,2.0,4081987383,0,我高中时就看到视频要男的上交全部工资，还说法律规定（断章取义），我以为评论会有反驳的，结果评论全是赞同。我妈给我看的视频，我还说这样有几个男的愿意结婚，现在才发现我当年对这个世界的了解还是太片面了。,0.0,0.0
480,4.0,5089734486,0,看了眼IP，意满离,1.0,2.0
482,5.0,1064792346,0,弱质专用,1.0,1.0
423,5.0,6009477829,6409372826,本来就是,0.0,0.0
411,3.0,17596393562270,6321749886,重开吧农p,1.0,1.0
296,1.0,3472631798,0,碰上硬茬可能挨打了,0.0,0.0
455,3.0,6372760267,2151687391,那你太惨了，我高考前一天感觉鼻塞喉咙疼，差点以为要寄了，猛磕药，考试当天起床发现屁事没有。,0.0,0.0
394,1.0,6524641204,0,不愧是绿牌的攻击力,1.0,1.0
376,2.0,5531708064,2508289718,给你砍了吧,1.0,1.0
376,6.0,2599544745,5531708064,我确实没有任何素质，但就你上面的评论来说你要么霸凌过别人要么就是没有爱你的那两位长辈，字我是打不出来了你知道我说的是我的女儿和女婿就好,1.0,1.0
403,10.0,3431491236,0,什么🐢男，你觉得你这样很大度很看得开是吧，但恰恰是对人家最大的不尊重,1.0,1.0
420,2.0,6443018101,0,妈的，你才是真脑瘫，有的是，还发这个是吧？🤣👉🏻🐶,1.0,1.0
440,4.0,3003211120,1606971929,你是真的逆天，算命的跟你说你对象身边异性很多你就信了是吗？你。。。。怎么考上的大学？,1.0,1.0
334,0.0,334136450,-1,给你500都多了,0.0,0.0
296,2.0,2895353696,0,傻*,1.0,1.0
262,3.0,913060008,0,希望你下次去医院查出来大问题捏,1.0,1.0
257,7.0,1458727672,2092152596,七级给你半步黄牌叠磕一个,1.0,1.0
430,2.0,4130476514,0,借楼，富哥v我50， 不v我只能说你秀你痳了个1β呢,1.0,1.0
315,3.0,2062741928,410967812,错哪了？下头男也配说话？玩你原神去,1.0,1.0
485,2.0,5030681697,0,父母对自己拳打脚踢的时候怎么不想，他们自己都不在乎，我为什么要在乎,0.0,0.0
260,8.0,1151391072,1454297091,你的纯度很高，弱智吧适合你，犯人都有知情权，病人花钱看病以后还不知道自己是什么病是合理的？,1.0,1.0
331,8.0,1323766576,1494489166,用水灭锂电池？,0.0,0.0
288,5.0,4149917753,1137339124,这种**玩意，你敢娶？,1.0,2.0
341,3.0,2708099623,0,刚进来就被骂了捏,0.0,0.0
328,3.0,4390758299,1427628639,你说了啥,0.0,0.0
255,2.0,1585629685,593212109,自己去查查广州深圳哪个城中村多点，好好讲话，不要喷粪,0.0,0.0
351,6.0,964020712,1308261456,我洗什么？人家出钱建大学，你出钱建什么？仇富呗，只要谁比你有钱就要捐出去是吧？,0.0,0.0
379,8.0,675548068,90529416,视频里有多少人不用管，逮着几个跑得慢的砍，能砍几个十几个，都是老头老太婆，乱杀,1.0,2.0
293,9.0,3910890872,4904098421,这楼里都是什么若至东溪？还是说自己家里太落后了没见过电梯和楼层夹角的挡牌,1.0,2.0
259,5.0,5978587778,0,有没有可能人家边问情况，边开检查，血和片子的报告诊断都在电脑里啊。看病仔细慢了要被说，看病快了也要说有些人就是难伺候啊。,0.0,0.0
438,8.0,917754712,0,你🪵私了 天天需要几把呢 别恶心人,1.0,1.0
265,7.0,1399686568,928961325,毕竟是去看病的不是别的解释一下还是有必要的,0.0,0.0
294,0.0,3924200497,-1,那个啥笔女人，居然用手拉孩子，,1.0,1.0
383,2.0,250855123,0,最起码不会教育出来像你这样的后代吧，带什么节奏呢，个人行为都要上升到人家后代身上了，你是什么水生生物带出来的呀,1.0,1.0
281,2.0,864968816,952190701,黄鳝都敢玩怕这区区一两寸？,1.0,2.0
277,7.0,4388449641,4458013287,玩你的小红书去 司玛东西,1.0,1.0
406,5.0,6555637332,0,好强的攻击力,0.0,0.0
460,4.0,3482750137,1332113364,注意米线,0.0,0.0
350,5.0,4706786136,3027540135,你是什么玩意，老子是跟你说吗,1.0,1.0
385,4.0,1580143529,0,为什么问一堆唐氏儿啊,1.0,2.0
447,5.0,4938724090,6538525297,那就纯纯逆天了，很难想象是什么🧠让电梯门外的人关门,1.0,1.0
470,3.0,238272768,2926389751,长见识了，第一次听说哎,0.0,0.0
463,2.0,2253848566,3491892952,有一说一，滔博不错了，至少这个阵容上限是有的，下限也不错，不签字等着被盗抢啊🤣,0.0,0.0
315,5.0,3507585157,410967812,谁先找事的，沸羊羊差不多得了,1.0,1.0
280,3.0,5480067863,0,眼睛别要了,1.0,1.0
331,1.0,65375520,0,有没有可能里面是水，不是油。,0.0,0.0
441,1.0,3057409698,1606971929,你抽象的跟个串子似的居然还能站起来攻击人,1.0,1.0
316,6.0,2458154127,0,换成鸡,1.0,2.0
503,4.0,977274681,6542129586,能带上我吗哥 你在旁边看我们嗯,0.0,0.0
326,2.0,4561211549,3080567564,沉这么多楼也能被挖出来吗？真厉害,0.0,0.0
502,3.0,1670167156,4994112645,你是真小丑啊，碰到你这种低智也挺无奈的，在地府混不下去被赶到人间的鬼物，闭嘴吧,1.0,1.0
382,5.0,5964216486,2344270178,是啊，没错，但这跟我有什么关系啊，我甚至也只是看到这个视频才知道有这个事儿，人在家中坐，锅从天上来?这算什么事儿啊，照这么说，中国每个省都有坏人，每年的案件也不少，那是不是证明中国人都是坏比?，这不是地域黑是啥啊?,0.0,0.0
414,7.0,3946032138,0,哪来dinner一点文化都没，还搁这爱拉黑，求求你看点正经新闻，看点历史吧，别天天在这大清大清的，你大清就是思想落后，百姓只知种地，才被西方吊打的。,1.0,1.0
260,2.0,1410696291,1588203596,这个是复诊，在电脑上是可以直接看到他之前的就诊记录和诊断的,0.0,0.0
408,1.0,5035837043,0,直接扣，她受不了的,1.0,2.0
263,5.0,3902816537,1502385639,初诊断是放射科医生写的,0.0,0.0
334,1.0,370411439,3046064238,这都是游戏大神了，你还不让着点他,0.0,0.0
285,1.0,2798186732,0,荤素价格不一样吧,0.0,0.0
388,6.0,5039833676,0,真丑啊,1.0,1.0
296,9.0,985163352,0,哦所以你这是放的什么又臭又长的麻花屁？你可真厉害奥不去评价视频里人的问题跟我在这噗噗噗放屁，真有你的。,1.0,1.0
391,9.0,1198824434,0,两坨极端罢了，还要互相看不起，说对方更臭,1.0,2.0
418,9.0,1096654380,1556490289,能不能滚出江西,1.0,1.0
355,5.0,1255967494,0,你咖喱人情绪也很稳定,1.0,1.0
424,6.0,3911360763,0,每次小红书看到这种评论就想一拳顺着网线把xxn的自贡锤烂,1.0,2.0
265,3.0,1219703726,817399114,？什么时代了能用这个判断，还当十几年前呢。现在出片子的话医生电脑里是立刻就有，拿片子看人多不多，不多很少的话能不到半小时就拿片,0.0,0.0
258,0.0,1045963601,-1,巨婴是真多啊,1.0,2.0
267,8.0,4458745045,6369131968,一棒子打死，我只能说你也差不多。,1.0,1.0
276,0.0,3813675188,-1,录下来 保存好证据 直接找劳动监察大队啊,0.0,0.0
259,0.0,3508872114,-1,因为是兽医啊。哪的医生不都这样么？你进去他不看症状，一个劲在那捅咕电脑。然后就叫你去药局交钱拿药,1.0,2.0
318,5.0,2969381368,0,老仙女也要日,1.0,2.0
261,1.0,5157373730,0,那你别去看病了，不了解现代医疗系统建议别胡说,1.0,1.0
436,6.0,4735480671,4614853305,自裁啊 到了阴间就不用担心蹲号子了,1.0,1.0
447,6.0,1304298383,6538525297,真的这么孬谈。。。不敢相信,1.0,1.0
274,8.0,3455896398,4151459407,什么dinner,1.0,1.0
268,5.0,163047763,2747217112,小仙女没错，警察也没错，错的是制订高速路不能逆行的人。,1.0,1.0
362,1.0,1474830963,0,老师都应该是灰头土脸，没车没房的老东西,1.0,2.0
350,4.0,988823325,4706786136,你是真魔怔了，开个玩笑都看不懂,1.0,1.0
267,0.0,2733299935,-1,国女魅力时刻,1.0,2.0
262,0.0,68115176,-1,我记得以前评论怎么说的？一上来就拍片，ct，b超做个遍。最后发现是个小问题，药房买包药就完事了。医院赚了几千块来着,0.0,0.0
438,5.0,1603063060,0,我感觉她像个单亲妈妈，一边在外打工一边还要照顾你这个没脱奶的娃,1.0,1.0
446,4.0,3942953898,0,这就是黄牌吗，攻击力我认可了,1.0,1.0
317,2.0,2034948319,0,你说话咋一股dinner味,1.0,1.0
453,0.0,963866460,-1,神经病,1.0,1.0
372,3.0,1244556705,0,符合对江西的印象,1.0,2.0
271,0.0,709576777,-1,什么小仙女啊！,1.0,1.0
282,2.0,2451428962,0,男的拘留是吧,0.0,0.0
305,2.0,2457510795,4899046937,打架没出大事大家都爱看看热闹，你看那警察被打的时候 群众马上就扑上去了。,0.0,0.0
469,1.0,3282570746,0,咋了，就外放，有种你过来当面跟我说啊，每次坐车都外放，也没人敢当面让我小点声，你们这些在网上闹麻了,1.0,1.0
356,1.0,3480650647,0,那就别留下评论,0.0,0.0
402,3.0,3509690872,0,滚，跟个弱智一样,1.0,1.0
264,5.0,195060295,0,你拍个照片，医生这边能看到你的照片，然后专业（影像科）有人根据你的照片写一段文字，对你的照片进行描述。专科的人对自己专业的片子可以只看片子不看报告，甚至可以对报告进行纠正，这就叫专业。这也是报告单下边说的，仅供参考 的意思,0.0,0.0
502,0.0,1670167156,-1,牛魔的你被说破防了来贴吧找存在感是吧，纯dinner，心理承受能力还没你那皮炎大,1.0,1.0
343,3.0,2880930714,0,你不是女孩子,0.0,0.0
407,1.0,2033235695,0,nm个小丑，死远点，幻想上了是吧？byd,1.0,1.0
264,2.0,6091745483,968046346,视频里那个男的不是说了医生连老太太腿什么毛病都没说就开药了呢,0.0,0.0
304,7.0,1734041732,0,你可能连脑子都没有，去抖音快手吧那边和你一样无脑之人很多,1.0,1.0
262,7.0,3885528978,170968310,呵呵，癌症和肠炎都分不清，说明医生没有水平，学医的还有很大进步空间，不是你乱开检查的借口。,0.0,0.0
479,5.0,6524139970,0,舔舔word new new,1.0,2.0
400,7.0,6513101567,2829058696,要是晚唐这种社会还能活一百年那真的是奇迹,0.0,0.0
364,3.0,2537251601,1137339124,现实中***b一句地域黑的话吗？可怜虫,1.0,1.0
468,0.0,6317915344,-1,我同意，s8那年skt没进世界赛，所以大飞不如大师，所以S13大师就能夺冠,0.0,0.0
480,0.0,5994968506,-1,受不了了🥵，真的受不了了！牛至，我要🔒牛至！😭牛牛，没有你我怎么活啊😭，快给我🐮🐮，玛德不管了，直接开嗦，你们一个也跑不掉，我直接大吼一声扑向牛至，不管是白牛至还是黑牛至，只要是进囗的洋牛至我都🔒，大牛至，小牛至，老牛至，嫩牛至，都是我要🔒的牛至，我TM直接🔒🔒🔒🥵,1.0,2.0
457,10.0,912205830,1729454464,重庆的轻轨路线真的是地狱难度，一路上要转4/5车,0.0,0.0
347,7.0,664742475,0,上海南蛮子说话是这个泌阳的,1.0,2.0
372,9.0,2800022738,0,虽然我不知道有马加奈是谁，但我觉得你一定是他的弟弟没嘛加奈,1.0,1.0
299,2.0,17054852,1820506587,我家小孩3岁。她只听她妈的话，不听我和外婆的话，而且她打我和外婆。为啥，因为她妈真敢打她。越打她，她还是越喜欢她妈。我和外婆舍不得打她，她反而不尊重我们。,0.0,0.0
280,2.0,4680291539,0,笑死了,0.0,0.0
488,7.0,1380484924,0,阿旺，养活整个福建的大土豪。。莆田鞋的创始人,0.0,0.0
284,1.0,4534209567,5008925132,戾气这么重啊，你是食堂老板还是食堂老板养的狗啊,1.0,1.0
399,7.0,6396008566,2728225813,不是嘛，xxn说你xsr你就xsr了，蒸馍你不扶器,1.0,2.0
266,7.0,3545007750,0,和口音有什么关系?人家就是想知道他母亲身体如何，那医生什么也不说明就开药谁不生气?,0.0,0.0
454,0.0,6372760267,-1,大家快来水,0.0,0.0
335,6.0,4879009256,3887418784,外卖的外卖的，你有多高贵，还不值得信任！，讲道理讲不通就开始秀高贵了是吧，遛狗不牵狗绳的高贵是吧,1.0,1.0
282,3.0,1474743110,0,搞不好男的进男厕都要被拘留,0.0,0.0
506,0.0,1371461207,-1,怎么说呢，至少这个xxn真的是有一套房子，虽然不犯法，但是道德上真的很膈应人，就好像这个人，完全不是为了爱情去恋爱，更像是做生意，但是又好像，现在的爱情本质上就是一门生意，也是没办法,1.0,1.0
506,5.0,868674606,6355203705,不构成,0.0,0.0
264,9.0,481796477,6091745483,复诊,0.0,0.0
257,0.0,5433913230,-1,好……强！,0.0,0.0
435,0.0,5698885912,-1,你是小仙男？跟xxn一样看见国外好的就非得评论区犯个🗡️,1.0,1.0
462,2.0,1981814865,0,滔搏卖的哪个牌子的👟？,0.0,0.0
305,1.0,568424782,0,乐子人,0.0,0.0
340,6.0,3478565502,189292668,谁家大人敢让这么大的狗离孩子这么近？,0.0,0.0
408,0.0,5679975900,-1,别急着嘲讽了，支点招啊，比如怎么聊起来啥的,0.0,0.0
443,2.0,580326391,0,你个five苦什么？高考几百分啊，还好意思叫苦,1.0,1.0
254,4.0,494192699,0,有啥好说的，不就是一个绿字吗，这年头谁头上不长点草啊,0.0,0.0
423,8.0,2056559809,3498011556,想半天想不通你的🐶💩逻辑,1.0,1.0
386,4.0,4904608127,0,guo南可以爬了,1.0,1.0
387,2.0,1942808348,0,低能东西，聊天框发又不发，故作玄虚给你木看吗,1.0,1.0
403,0.0,5988730035,-1,说实话我不期待她说我也喜欢你什么之类的话，我觉得真喜欢一个人没必要一定在一起，希望她过得更好才是真的爱,0.0,0.0
263,7.0,2082646884,0,查一下复诊是啥，复诊没事的话按常规走流程就行了，没啥好交代的，该说的初诊的时候就说了，你有问题的话就问啊,0.0,0.0
493,6.0,4121928714,0,你个小东西行不行我一只手把你头拧下来,1.0,1.0
336,8.0,928305634,19372125,也不是太小，差不多高中的时候授课回来路上的事儿,0.0,0.0
432,3.0,3815544948,0,为了让男女有资格对立，没这帮闲哥们就是女强男弱了，男性立场只会越来越惨哪还来的对立。,0.0,0.0
379,7.0,4482106863,0,早被抓了你，东西没了，还要陪医疗费呢,0.0,0.0
348,8.0,4881956907,829834216,哪个官方，能发给我看看么gu儿？,1.0,1.0
402,7.0,1926509519,0,什么龟楠,1.0,1.0
410,1.0,2707812399,0,该,0.0,0.0
451,10.0,2003851174,0,我之前在厂里有这种的，平时一天4个，4*21=84，周末全算加班，8*12=96，这就是180了，还剩个工作日或者周末再加4或者12，平时有时候再多混点，上200的有很多,0.0,0.0
472,1.0,3901195547,0,xun心态肯定是最好的，一直笑嘻嘻的，还被传了这么多年打假赛,0.0,0.0
301,9.0,1427003196,1165106641,你怕不是个弱智，视频能看得懂吗？视频内容是小孩一直在大声嚷嚷影响到别人，注意不是哭，然后别人提醒家长管教一下孩子，结果家长非但没有一丝歉意，还撒泼耍无赖甚至诅咒别人，,1.0,1.0
470,0.0,2926389751,-1,369是会抽烟 上次有和朋友吃饭他说369他初中同学 染了个红毛在那走廊抽烟以前（和一群苗民一起）,0.0,0.0
413,4.0,3071345401,0,学ZZ学傻了？,1.0,1.0
448,5.0,730922408,0,和身边的人说，身边一堆人，谁知道是和谁说，而且音量也不小，下了电梯都能听到。,0.0,0.0
265,10.0,264948237,817399114,现在医院拍普通CT一般半小时至一小时，就开始在自助终端机拿检查报告跟打印片子，自己的手机上有医院公众号的话，能提前十几分钟知道检查报告。这些检查报告片子是自己留着的，医生一般都不看的直接看电脑备份的,0.0,0.0
337,3.0,3641559541,901052470,几百块钱的东西让人家赔5万 确实少了 应该赔50万，好给你父母买几口管才,0.0,0.0
448,6.0,1145678830,6538525297,就算是这样 旁边人也不会像你这么想 因为 叫电梯外面人关电梯门的存在 一般人理解不了 狗叫你理了就输了,0.0,0.0
353,6.0,6481093333,2223425179,这么大广告牌掉下来肯定是发生巨响，在这种情况下你不做一点规避动作，还是说bgm蒙蔽了你的双眼,0.0,0.0
260,0.0,6331137594,-1,是不用看的，片子拍过直接就传给给你接诊的大夫了。,0.0,0.0
356,9.0,5840121027,0,评论霓马,1.0,1.0
420,1.0,5026370243,0,这是真的，脑瘫儿,1.0,1.0
279,2.0,5891618773,0,不过有一说一，女生上厕所是真的慢，无论什么地方，排队的总是女厕,0.0,0.0
269,8.0,733641925,0,这些人脑子有病吧,1.0,2.0
385,8.0,3367568249,3886424675,白左怎么就跟自由派画上等号了,0.0,0.0
297,6.0,91467297,6053083318,傻A与C，你注定没孩子，哈哈哈,1.0,1.0
469,4.0,1083331052,3282570746,真是缺缺又德德啊,1.0,1.0
391,5.0,2977834410,6077633248,我看航吧好像凶一点，口吧反驳一下 就阴阳怪气一下 航吧大概率开喷了,0.0,0.0
484,6.0,6535744452,0,男同不喜欢这种 喜欢八块鸡肉的,0.0,0.0
439,0.0,1606971929,-1,呜呜呜呜呜呜呜呜哇😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭好绝望啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,0.0,0.0
454,5.0,2675237077,4506427800,确实说的没错，但不是所有中学都是衡水模式。当我知道表弟那学校初中就能搞表白墙，下课时可以拿手机订外卖的时候我人傻了,0.0,0.0
415,4.0,6442310058,6442310058,天天发烦不烦，纯纯的小丑,1.0,1.0
255,4.0,1585629685,593212109,珠新就是广州的门面，就相当于陆家嘴，相当于曼哈顿。但以福田的体量还是高楼来说，都完全不可能是深圳门面，随便一个前海或者科技园体量都能比福田大,0.0,0.0
305,0.0,4899046937,-1,起哄的什么心态？？？？？完全没懂,0.0,0.0
339,0.0,2990176550,-1,人家秦始皇都不急你急什么？,0.0,0.0
283,2.0,878278153,3250960865,不至于吧,0.0,0.0
359,2.0,5221537581,0,蠢东西就是蠢东西 非要说点啥显摆自己 贴吧你以为是给国家军官看的呢 还不是给我们这种人打发时间的 你呢就不一样了 想看又觉得不好看 真是shg啊,1.0,1.0
299,1.0,1820506587,0,3岁小孩打骂，你是**吗,1.0,1.0
363,6.0,4651396195,941740650,然后也是寻衅滋事，你的脑回路的确不得了,1.0,1.0
365,4.0,3323984994,580429442,你要是少✌🏻那你说的就对，不是那你就是纯种dinner,1.0,1.0
466,3.0,6008967450,1309007264,00年的23了不年轻了。s6就开始打的这么多年了,0.0,0.0
404,5.0,5519654732,3537550458,贴是不看完的，人是偌智的，脑容量是不够的，犬吠是要喊两声的，人家楼主写的清清楚楚你跟个低螚一样选择性看不见，你这种狗脑子能不能速速重开啊🤣🤣🤣,1.0,1.0
307,5.0,3487373085,560488440,ip正确，言论正确，性别正确！结案,0.0,0.0
424,2.0,3494556080,5953696038,大爷大妈：,0.0,0.0
466,0.0,3506109515,-1,不买左手的话其实还行，现在左手应该是华子里最贵的吧，而且应该遥遥领先于其他高价格华子，中单这个位置现在可是紧俏位置，他一个人能顶好几个中上价格的华子了,0.0,0.0
396,2.0,6521853762,0,支持,1.0,1.0
369,4.0,6021345314,0,指责提出问题的人，你也是个晚餐。,1.0,1.0
312,7.0,4159074615,0,没脑子是你这样的,1.0,1.0
344,3.0,3478086551,0,细说黑,1.0,2.0
488,9.0,2170715879,6407333520,你不能乱说啊，嫌少可以不去的，不去有的是人去,0.0,0.0
357,1.0,2812928057,0,好多早餐店为了省钱，会用这玩意儿,0.0,0.0
343,6.0,4325059739,2532032339,别骂了，别骂了,0.0,0.0
317,0.0,6366016255,0,lz好会,0.0,0.0
400,2.0,1593908741,2829058696,杜甫死后过了100多年唐朝才灭亡，晚唐是吧,0.0,0.0
338,0.0,6033186680,-1,P事真多，秦始皇是你叠？,1.0,1.0
456,5.0,6429208456,2340724663,学校里垄断那就去校外，快递点又不是几公里就它一个,0.0,0.0
474,2.0,3559303450,0,行尼木呢，大飞名场面地图都放不下,1.0,1.0
392,9.0,2685672522,1591453571,我对口吧的刻板印象就是你说的这个,1.0,2.0
376,7.0,2599544745,5531708064,反正都是图一乐，骂爽了我开心就行，素质啥的留给有脑子的人就好,1.0,1.0
297,5.0,91467297,245231597,比你强，起那个2名。,1.0,1.0
335,0.0,6096836459,-1,狗主人不是人，,1.0,1.0
444,2.0,5700088631,5504924028,？我现在在南昌，和南昌确实差不多啊，你阴阳鸡毛啊,1.0,1.0
296,6.0,4592995442,0,你要真这么说绝对会处于劣势,0.0,0.0
370,1.0,946380838,0,那为什么其他人不受干扰，就你受干扰呢？,0.0,0.0
349,4.0,1277324811,2679520335,黄小鬼还玩我家哥哥的梗，落幕的神也不是你能玷污的好吧,1.0,1.0
343,2.0,1093094603,0,两万君，请和我交往,0.0,0.0
377,1.0,6012162949,0,80后怎么你了,0.0,0.0
371,6.0,2192590132,0,用你的假耳机别碍着爷，爷就是显爷就是高贵，你就是贱懂了吗贱民,1.0,1.0
444,3.0,5700088631,5504924028,那个二线城市还没有点高楼大厦了？,1.0,1.0
438,0.0,1606971929,-1,呜呜呜呜呜呜呜呜呜X﹏XX﹏X你该死啊,0.0,0.0
